0             Sumarezinho      A verificar
1                  Centro      A verificar
2            Jardim Ester      A verificar
3              Bom Retiro      A verificar
4                Perdizes      A verificar
5             vila olimia      A verificar
6   Vila Anglo Brasileira      A verificar
7              Consolação      A verificar
8        Vila Dom Pedro I      A verificar
9             Vila Romana      A verificar
10               Ipiranga      A verificar
11               Perdizes      A verificar
12              República      A verificar
13         Vila Anastácio      A verificar
14              República      A verificar
15                   Brás      A verificar
16               Assunção      A verificar
17               Pacaembu      A verificar
18           Vila Mariana      A verificar
19             Consolação      A verificar
20      Planalto Paulista      A verificar
21             Bela Vista      A verificar
22               Perdizes      A verificar
23             Bela Vista      A verificar
24               Perdizes      A verificar
25              República      A verificar
26                Paraíso      A verificar
27              República      A verificar
28        Vila Ponte Rasa      A verificar
29             Bela Vista      A verificar
30             Bom Retiro      A verificar
31            Água Branca      A verificar
32  Vila Anglo Brasileira      A verificar
33              República      A verificar
34        Cerqueira César      A verificar
35                Jaguaré      A verificar
36              República      A verificar
37               Perdizes      A verificar
38            Vila Romana      A verificar
39              República      A verificar
40             Bela Vista      A verificar
41              Pinheiros      A verificar
42             Consolação      A verificar
43              República      A verificar
44             Bela Vista      A verificar
45          Jardim Europa      A verificar
